AX,AY,AZ,GX,GY,GZ
-0.191308,-0.020493,0.070068,-0.102234,0.231934,-1.05896
-0.07574,-0.050034,0.0036,-0.105286,0.242615,-1.074219
-0.130215,-0.02562,0.064274,-0.10376,0.227356,-1.072693
-0.156041,-0.036606,0.043888,-0.071716,0.212097,-1.092529
-0.117065,-0.043687,-0.049878,-0.080872,0.228882,-1.057434
-0.114467,0.000747,0.061121,-0.085449,0.222778,-1.094055
-0.170537,0.023208,0.085799,-0.088501,0.204468,-1.072693
-0.125057,-0.040757,0.079099,-0.091553,0.209045,-1.0849
-0.105512,-0.011216,0.006602,-0.07782,0.213623,-1.075745
-0.11286,-0.089585,-0.058073,-0.057983,0.213623,-1.095581
-0.114289,-0.036362,0.000476,-0.057983,0.230408,-1.066589
-0.142819,-0.002183,-0.064906,-0.071716,0.219727,-1.05896
-0.129358,-0.072007,-0.07522,-0.079346,0.25177,-1.057434
-0.104185,-0.060288,-0.006412,-0.085449,0.253296,-1.065063
-0.097251,-0.065415,-0.036701,-0.083923,0.244141,-1.051331
-0.130905,-0.050278,-0.038769,-0.083923,0.245667,-1.05896
-0.073157,-0.01439,0.027921,-0.091553,0.247192,-1.065063
-0.073906,-0.043442,0.063327,-0.10376,0.236511,-1.049805
-0.103595,-0.022446,0.029332,-0.090027,0.239563,-1.068115
-0.067256,-0.041733,0.010185,-0.093079,0.230408,-1.075745
-0.033046,-0.039048,0.025564,-0.074768,0.22583,-1.095581
-0.018194,-0.069565,-0.026224,-0.082397,0.216675,-1.083374
-0.051365,-0.024399,0.017747,-0.065613,0.228882,-1.081848
-0.059712,0.038101,0.043765,-0.088501,0.222778,-1.0849
-0.014356,-0.101792,0.054475,-0.067139,0.212097,-1.095581
-0.026317,-0.086655,-0.044109,-0.05188,0.209045,-1.0849
-0.055793,0.003921,-0.079653,-0.067139,0.227356,-1.074219
-0.008932,0.042983,0.118311,-0.053406,0.238037,-1.066589
-0.043679,0.065933,0.081084,-0.083923,0.248718,-1.062012
-0.073759,0.081069,-0.002131,-0.082397,0.25177,-1.034546
-0.032561,0.01564,-0.041233,-0.093079,0.244141,-1.054382
-0.054937,-0.005356,-0.050605,-0.094604,0.248718,-1.046753
-0.073909,0.057632,-0.009999,-0.097656,0.242615,-1.066589
-0.061262,0.007827,-0.06786,-0.106812,0.241089,-1.054382
-0.089116,-0.01146,-0.06117,-0.105286,0.230408,-1.046753
-0.079116,-0.050034,-0.040143,-0.086975,0.210571,-1.069641
-0.102798,0.0027,0.04733,-0.099182,0.222778,-1.081848
-0.116734,-0.024155,0.026379,-0.071716,0.219727,-1.080322
-0.044154,-0.089585,0.013156,-0.076294,0.215149,-1.071167
-0.083846,-0.066392,0.015262,-0.076294,0.230408,-1.094055
-0.064097,-0.019761,0.075942,-0.073242,0.209045,-1.083374
-0.083461,-0.020005,-0.044084,-0.048828,0.219727,-1.063538
-0.010081,-0.098374,-0.059776,-0.067139,0.228882,-1.095581
-0.108611,-0.177964,-0.011442,-0.061035,0.245667,-1.072693
-0.056973,-0.218735,0.073108,-0.064087,0.242615,-1.057434
0.015248,-0.011948,-0.041651,-0.094604,0.253296,-1.054382
0.005349,0.119888,-0.014422,-0.10376,0.247192,-1.048279
0.010305,-0.080308,0.090052,-0.091553,0.25177,-1.065063
-0.06003,-0.02855,-0.112933,-0.105286,0.234985,-1.043701
0.033507,0.135757,-0.081546,-0.09613,0.236511,-1.051331
-0.134297,0.155288,0.055059,-0.093079,0.247192,-1.060486
-0.100179,-0.030503,0.092661,-0.073242,0.257874,-1.065063
-0.023404,-0.051011,-0.129694,-0.106812,0.224304,-1.091003
-0.0671,0.039565,-0.115247,-0.076294,0.230408,-1.081848
-0.133224,0.064712,0.173505,-0.061035,0.212097,-1.080322
-0.024116,0.011489,0.057179,-0.073242,0.20752,-1.077271
-0.031541,0.012954,-0.048095,-0.067139,0.195312,-1.078796
-0.086709,-0.004624,-0.033334,-0.064087,0.210571,-1.0849
-0.048911,-0.028306,0.062325,-0.059509,0.210571,-1.081848
0.002451,-0.103257,-0.047365,-0.065613,0.228882,-1.068115
-0.012156,-0.055405,-0.105148,-0.083923,0.238037,-1.057434
-0.008126,-0.062974,-0.054122,-0.120544,0.253296,-1.052856
-0.060781,-0.03563,0.016266,-0.105286,0.228882,-1.057434
-0.013465,-0.073716,-0.00688,-0.100708,0.233459,-1.05896
0.020869,-0.084214,-0.027955,-0.09613,0.236511,-1.051331
-0.000399,-0.149155,-0.045947,-0.094604,0.228882,-1.069641
-0.01708,-0.075913,0.092766,-0.10376,0.227356,-1.072693
-0.047003,0.018081,0.051237,-0.106812,0.241089,-1.071167
-0.143762,0.084731,0.093966,-0.085449,0.222778,-1.080322
-0.039347,-0.062729,0.035012,-0.091553,0.234985,-1.072693
-0.104581,0.035415,0.09529,-0.079346,0.224304,-1.077271
-0.065717,0.132095,0.070373,-0.07019,0.221252,-1.074219
-0.037498,0.025161,-0.042832,-0.068665,0.230408,-1.089478
-0.029488,-0.044175,0.007239,-0.073242,0.213623,-1.075745
-0.048875,-0.013413,0.027629,-0.067139,0.209045,-1.075745
-0.001172,0.070815,-0.037243,-0.07782,0.245667,-1.074219
-0.018698,0.056655,-0.006596,-0.085449,0.233459,-1.042175
-0.002418,-0.012925,-0.023141,-0.088501,0.250244,-1.062012
-0.00036,-0.030015,-0.082066,-0.082397,0.236511,-1.051331
-0.020171,-0.02855,-0.021917,-0.097656,0.233459,-1.063538
0.004197,-0.044907,-0.004923,-0.099182,0.242615,-1.057434
0.012106,-0.072739,-0.022153,-0.102234,0.247192,-1.065063
0.013107,-0.012437,-0.020477,-0.105286,0.222778,-1.05896
-0.009576,-0.033433,-0.023697,-0.07019,0.212097,-1.083374
0.002895,-0.066636,-0.039956,-0.085449,0.215149,-1.078796
0.015751,-0.057358,-0.023193,-0.079346,0.215149,-1.072693
-0.00372,-0.077134,0.053238,-0.067139,0.213623,-1.081848
-0.033482,-0.041489,0.107679,-0.085449,0.215149,-1.072693
-0.003957,0.014907,0.102834,-0.062561,0.221252,-1.0849
-0.033197,-0.002915,0.036738,-0.079346,0.201416,-1.087952
0.030651,-0.057358,-0.021576,-0.080872,0.234985,-1.052856
0.066727,-0.047837,0.020257,-0.080872,0.260925,-1.037598
0.038804,0.019302,0.020166,-0.083923,0.250244,-1.043701
0.001544,-0.035142,-0.053645,-0.10376,0.236511,-1.051331
0.001939,-0.014878,-0.005848,-0.100708,0.256348,-1.062012
0.00319,-0.020005,0.070996,-0.102234,0.248718,-1.05896
-0.041371,0.013931,0.097327,-0.097656,0.238037,-1.052856
0.034787,0.053237,0.038197,-0.100708,0.216675,-1.083374
-0.022321,-0.002427,0.003526,-0.091553,0.221252,-1.05896
-0.012362,-0.010239,-0.031696,-0.076294,0.202942,-1.081848
-0.010699,-0.006333,-0.082712,-0.068665,0.227356,-1.063538
0.005595,-0.016831,-0.049243,-0.07019,0.218201,-1.05896
-0.028306,-0.078354,-0.053153,-0.07782,0.222778,-1.095581
-0.022887,-0.042466,-0.005515,-0.073242,0.205994,-1.098633
0.003242,-0.018784,-0.045564,-0.061035,0.204468,-1.092529
0.021333,-0.050034,-0.048127,-0.054932,0.241089,-1.062012
-0.017233,-0.075181,-0.044135,-0.074768,0.247192,-1.042175
0.01083,-0.025376,-0.012864,-0.10376,0.230408,-1.040649
0.029289,-0.004868,0.007091,-0.099182,0.242615,-1.052856
0.025367,-0.024888,0.038139,-0.097656,0.22583,-1.055908
-0.021938,-0.030015,0.037972,-0.099182,0.236511,-1.066589
0.025098,-0.013413,-0.028491,-0.090027,0.234985,-1.052856
-0.003539,-0.019028,-0.008829,-0.094604,0.216675,-1.068115
-0.020898,0.008804,0.078278,-0.094604,0.227356,-1.074219
0.003846,-0.032456,-0.053599,-0.094604,0.20752,-1.063538
-0.013078,-0.034897,0.026143,-0.071716,0.210571,-1.081848
0.011843,0.006362,0.05787,-0.079346,0.215149,-1.060486
-0.028173,0.029067,0.111329,-0.086975,0.219727,-1.075745
-0.016906,0.026138,0.07163,-0.074768,0.22583,-1.074219
-0.019962,0.001724,0.052708,-0.062561,0.219727,-1.086426
-0.001555,-0.019517,-0.015982,-0.068665,0.230408,-1.055908
-0.013344,-0.025132,-0.04191,-0.071716,0.241089,-1.055908
0.020237,-0.034897,-0.026156,-0.079346,0.253296,-1.043701
-0.008405,-0.030747,-0.09744,-0.10376,0.239563,-1.057434
0.012452,-0.010972,0.010326,-0.083923,0.244141,-1.049805
0.000361,-0.003159,0.081496,-0.094604,0.238037,-1.065063
0.026658,-0.000962,0.004115,-0.105286,0.244141,-1.049805
0.023965,-0.030015,-0.008488,-0.105286,0.242615,-1.066589
0.040279,-0.038071,-0.0026,-0.102234,0.215149,-1.066589
0.064466,-0.002915,-0.053994,-0.074768,0.212097,-1.075745
0.048444,-0.030991,-0.077962,-0.097656,0.221252,-1.078796
0.048714,-0.018784,-0.030375,-0.097656,0.210571,-1.060486
0.05167,0.007583,-0.023046,-0.082397,0.210571,-1.065063
0.050941,0.003921,-0.034263,-0.093079,0.219727,-1.080322
